Sample,Hamming_loss,Exact_match,Accuracy,
1,0.2123056118999324,0.0,0.27360767186265283,
2,0.19754338517016,0.0,0.3012788508384561,
3,0.20482758620689662,0.0,0.2949657858553664,
4,0.20114942528735638,0.0,0.2769139644927677,
5,0.22000000000000003,0.0,0.2592348516190857,
6,0.20068965517241386,0.0,0.29728412787649017,
7,0.1867816091954023,0.0,0.3008099726488621,
8,0.20379310344827584,0.0,0.2827905585167493,
9,0.186551724137931,0.0,0.3143632196434364,
10,0.1967816091954023,0.0,0.29196873385835076,
Average,0.182765791792161,0.0,0.26301979429201977,
varience,3.902146524340632E-4,0.0,8.428174887214121E-4,
standard deviation,0.01975385158479387,0.0,0.02903131910060947,
